10010,,1,1,23.2
10010,,1,2,18.7
10010,,1,3,14.2
10010,,1,4,14.8
10010,,1,5,14.9
10010,,1,6,26.4
10010,,1,7,22.5
10010,,1,8,15
10010,,1,9,17.6
10010,,1,10,17.6
10010,,1,11,15.8
10010,,1,12,12.6
10010,,1,13,15.1
10010,,1,14,17.8
10010,,1,15,14.7
10010,,1,16,16.1
10010,,1,17,14.3
10010,,1,18,13.5
10010,,1,19,17.2
10010,,1,20,16.5
10010,,1,21,20.8
10010,,1,22,12.9
10010,,1,23,14.8
10010,,1,24,21
10010,,1,25,21.4
10010,,1,26,30
10010,,1,27,32
10010,,1,28,31.1
10010,,1,29,25.5
10010,,1,30,28.8
10010,,1,31,34.2
10010,,2,1,30
10010,,2,2,32.7
10010,,2,3,32
10010,,2,4,32.2
10010,,2,5,33.6
10010,,2,6,24.4
10010,,2,7,30.9
10010,,2,8,27.7
10010,,2,9,26.8
10010,,2,10,23
10010,,2,11,16.5
10010,,2,12,9.3
10010,,2,13,13.6
10010,,2,14,14.2
10010,,2,15,5.4
10010,,2,16,30
10010,,2,17,33.8
10010,,2,18,27
10010,,2,19,30.7
10010,,2,20,31.8
10010,,2,21,28.2
10010,,2,22,27.5
10010,,2,23,25.9
10010,,2,24,27.3
10010,,2,25,35.2
10010,,2,26,32
10010,,2,27,15.4
10010,,2,28,14.7
10010,,3,1,16.2
10010,,3,2,19.6
10010,,3,3,22.3
10010,,3,4,23.7
10010,,3,5,16.6
10010,,3,6,15.3
10010,,3,7,20.1
10010,,3,8,20.1
10010,,3,9,20.3
10010,,3,10,22.5
10010,,3,11,32
10010,,3,12,35.8
10010,,3,14,28.1
10010,,3,15,12.4
10010,,3,16,31.3
10010,,3,17,33.1
10010,,3,18,13.2
10010,,3,19,27.5
10010,,3,20,36.3
10010,,3,21,33.8
10010,,3,22,32.2
10010,,3,23,16
10010,,3,24,14.9
10010,,3,25,15.3
10010,,3,26,12.9
10010,,3,27,14.3
10010,,3,28,8.9
10010,,3,29,21.2
10010,,3,30,10.4
10010,,3,31,2.1
10010,,4,1,16.9
10010,,4,2,21.6
10010,,4,3,28.4
10010,,4,4,28.8
10010,,4,5,16.9
10010,,4,6,10.6
10010,,4,7,14.2
10010,,4,8,17.1
10010,,4,9,14.9
10010,,4,10,14
10010,,4,11,17.1
10010,,4,12,23.9
10010,,4,13,17.8
10010,,4,14,18.9
10010,,4,15,13.8
10010,,4,16,23
10010,,4,17,29.1
10010,,4,18,34.7
10010,,4,19,34.5
10010,,4,20,34
10010,,4,21,35.1
10010,,4,22,32.5
10010,,4,23,33.6
10010,,4,24,27.3
10010,,4,25,30.7
10010,,4,26,21
10010,,4,27,16.5
10010,,4,28,16.2
10010,,4,29,22.3
10010,,4,30,29.3
10010,,5,1,28.2
10010,,5,2,23.7
10010,,5,3,27.5
10010,,5,4,28.2
10010,,5,5,31.8
10010,,5,6,35.6
10010,,5,7,30.7
10010,,5,8,29.1
10010,,5,9,27.5
10010,,5,10,27.4
10010,,5,11,23.4
10010,,5,12,20.9
10010,,5,13,24.6
10010,,5,14,26.1
10010,,5,15,28.8
10010,,5,16,32.5
10010,,5,17,35.2
10010,,5,18,34.5
10010,,5,19,33.1
10010,,5,20,30.7
10010,,5,21,29.5
10010,,5,22,28.4
10010,,5,23,31.6
10010,,5,24,30
10010,,5,25,31.3
10010,,5,26,35.4
10010,,5,27,29.3
10010,,5,28,28.2
10010,,5,29,25.7
10010,,5,30,27.4
